Board_FEN, Best_Move
 rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,a2a3
rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq - 0 1,g8f6
rnbqkb1r/pppppppp/5n2/8/8/P7/1PPPPPPP/RNBQKBNR w KQkq - 1 2,d2d4
rnbqkb1r/pppppppp/5n2/8/3P4/P7/1PP1PPPP/RNBQKBNR b KQkq - 0 2,g7g6
rnbqkb1r/pppppp1p/5np1/8/3P4/P7/1PP1PPPP/RNBQKBNR w KQkq - 0 3,b1c3
rnbqkb1r/pppppp1p/5np1/8/3P4/P1N5/1PP1PPPP/R1BQKBNR b KQkq - 1 3,d7d5
rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/P1N5/1PP1PPPP/R1BQKBNR w KQkq - 0 4,h2h3
rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/P1N4P/1PP1PPP1/R1BQKBNR b KQkq - 0 4,c7c6
rnbqkb1r/pp2pp1p/2p2np1/3p4/3P4/P1N4P/1PP1PPP1/R1BQKBNR w KQkq - 0 5,g2g3
rnbqkb1r/pp2pp1p/2p2np1/3p4/3P4/P1N3PP/1PP1PP2/R1BQKBNR b KQkq - 0 5,f8g7
rnbqk2r/pp2ppbp/2p2np1/3p4/3P4/P1N3PP/1PP1PP2/R1BQKBNR w KQkq - 1 6,g1f3
rnbqk2r/pp2ppbp/2p2np1/3p4/3P4/P1N2NPP/1PP1PP2/R1BQKB1R b KQkq - 2 6,f6e4
rnbqk2r/pp2ppbp/2p3p1/3p4/3Pn3/P1N2NPP/1PP1PP2/R1BQKB1R w KQkq - 3 7,c3e4
rnbqk2r/pp2ppbp/2p3p1/3p4/3PN3/P4NPP/1PP1PP2/R1BQKB1R b KQkq - 0 7,d5e4
rnbqk2r/pp2ppbp/2p3p1/8/3Pp3/P4NPP/1PP1PP2/R1BQKB1R w KQkq - 0 8,f3e5
rnbqk2r/pp2ppbp/2p3p1/4N3/3Pp3/P5PP/1PP1PP2/R1BQKB1R b KQkq - 1 8,c6c5
rnbqk2r/pp2ppbp/6p1/2p1N3/3Pp3/P5PP/1PP1PP2/R1BQKB1R w KQkq - 0 9,c2c3
rnbqk2r/pp2ppbp/6p1/2p1N3/3Pp3/P1P3PP/1P2PP2/R1BQKB1R b KQkq - 0 9,f7f6
rnbqk2r/pp2p1bp/5pp1/2p1N3/3Pp3/P1P3PP/1P2PP2/R1BQKB1R w KQkq - 0 10,e5c4
rnbqk2r/pp2p1bp/5pp1/2p5/2NPp3/P1P3PP/1P2PP2/R1BQKB1R b KQkq - 1 10,c8e6
rn1qk2r/pp2p1bp/4bpp1/2p5/2NPp3/P1P3PP/1P2PP2/R1BQKB1R w KQkq - 2 11,e2e3
rn1qk2r/pp2p1bp/4bpp1/2p5/2NPp3/P1P1P1PP/1P3P2/R1BQKB1R b KQkq - 0 11,b7b5
